customer_id,name,age,gender,income,region,purchase_amount,upload_timestamp,avg_purchase_amount,purchase_frequency,customer_lifespan_months,calculated_clv,clv_tier
6476,"Pedro Rivera",66,Male,86603.77,CAR,4998.67,"2026-01-06 07:05:25",4998.67,4.50,48,89976.06,Platinum
1153,"Jose Rodriguez",57,Other,98908.99,"Region VIII",4995.62,"2026-01-06 07:05:25",4995.62,4.50,48,89921.16,Platinum
4581,"Ana Fernandez",58,Other,90441.27,"Region I",4995.50,"2026-01-06 07:05:25",4995.50,4.50,48,89919.00,Platinum
2576,"Maria Dela Cruz",60,Female,87247.90,CAR,4993.86,"2026-01-06 07:05:25",4993.86,4.50,48,89889.48,Platinum
737,"Luz Garcia",71,Male,90208.01,"Region I",4993.03,"2026-01-06 07:05:25",4993.03,4.50,48,89874.54,Platinum
1221,"Luz Rodriguez",65,Female,95030.11,"Region IV-B",4984.22,"2026-01-06 07:05:25",4984.22,4.50,48,89715.96,Platinum
2805,"Jose Fernandez",71,Other,90247.75,"Region X",4983.98,"2026-01-06 07:05:25",4983.98,4.50,48,89711.64,Platinum
480,"Pedro Rivera",71,Female,95068.35,"Region I",4983.85,"2026-01-06 07:05:25",4983.85,4.50,48,89709.30,Platinum
4984,"Ana Torres",54,Other,82752.86,"Region XIII",4982.58,"2026-01-06 07:05:25",4982.58,4.50,48,89686.44,Platinum
7399,"Elena Rivera",60,Female,77421.79,"Region IX",4980.82,"2026-01-06 07:05:25",4980.82,4.50,48,89654.76,Platinum
9535,"Juan Dela Cruz",77,Other,70331.08,"Region II",4976.75,"2026-01-06 07:05:25",4976.75,4.50,48,89581.50,Platinum
2555,"Carlos Torres",63,Female,98560.51,"Region VIII",4974.18,"2026-01-06 07:05:25",4974.18,4.50,48,89535.24,Platinum
555,"Carmen Lopez",58,Female,90249.86,"Region IV-A",4972.82,"2026-01-06 07:05:25",4972.82,4.50,48,89510.76,Platinum
4640,"Maria Dela Cruz",64,Female,84922.34,"Region IV-A",4966.96,"2026-01-06 07:05:25",4966.96,4.50,48,89405.28,Platinum
